id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Seraph Strings,classical,nostalgic,0.30,72,0.68,0.15,0.95
12,Concrete Beat,Rhyme Architect,hip-hop,energetic,0.88,96,0.70,0.66,0.10
13,Dusty Road,River Pines,country,hopeful,0.62,100,0.66,0.55,0.48
14,Neon Neon,Luna Pulse,electronic,playful,0.80,126,0.76,0.84,0.12
15,Seaside Sunset,Island Soul,reggae,laid-back,0.55,84,0.72,0.61,0.36
16,Winter Solitude,Iron Echoes,metal,melancholic,0.94,140,0.34,0.59,0.08
17,Sunset Gospel,Choir of Dawn,gospel,inspired,0.66,88,0.77,0.64,0.40
18,Thunder Dance,Atlas Ritual,world,tribal,0.82,112,0.51,0.67,0.25
19,Code in Motion,Synth Drifters,edm,exhilarated,0.90,132,0.73,0.88,0.14
20,Quiet Pond,Lake Whisper,folk,peaceful,0.46,70,0.62,0.47,0.81
